No,Class Name, Parent
202,ReturnAction,"Thing,Action,TransferAction,"
203,SendAction,"Thing,Action,TransferAction,"
204,TakeAction,"Thing,Action,TransferAction,"
205,AppendAction,"Thing,Action,UpdateAction,AddAction,InsertAction,"
206,PrependAction,"Thing,Action,UpdateAction,AddAction,InsertAction,"
207,DeleteAction,"Thing,Action,UpdateAction,"
208,ReplaceAction,"Thing,Action,UpdateAction,"
209,Report,"Thing,CreativeWork,Article,"
210,LiveBlogPosting,"Thing,CreativeWork,Article,SocialMediaPosting,BlogPosting,"
211,DiscussionForumPosting,"Thing,CreativeWork,Article,SocialMediaPosting,"
212,APIReference,"Thing,CreativeWork,Article,TechArticle,"
213,Blog,"Thing,CreativeWork,"
214,MovieClip,"Thing,CreativeWork,Clip,"
215,RadioClip,"Thing,CreativeWork,Clip,"
216,TVClip,"Thing,CreativeWork,Clip,"
217,VideoGameClip,"Thing,CreativeWork,Clip,"
218,Answer,"Thing,CreativeWork,Comment,"
219,Conversation,"Thing,CreativeWork,"
220,Course,"Thing,CreativeWork,"
221,RadioSeason,"Thing,CreativeWork,CreativeWorkSeason,"
222,TVSeason,"Thing,CreativeWork,CreativeWorkSeason,"
223,BookSeries,"Thing,CreativeWork,CreativeWorkSeries,"
224,MovieSeries,"Thing,CreativeWork,CreativeWorkSeries,"
225,RadioSeries,"Thing,CreativeWork,CreativeWorkSeries,"
226,TVSeries,"Thing,CreativeWork,CreativeWorkSeries,"
227,VideoGameSeries,"Thing,CreativeWork,CreativeWorkSeries,"
228,DataCatalog,"Thing,CreativeWork,"
229,NoteDigitalDocument,"Thing,CreativeWork,DigitalDocument,"
230,PresentationDigitalDocument,"Thing,CreativeWork,DigitalDocument,"
231,SpreadsheetDigitalDocument,"Thing,CreativeWork,DigitalDocument,"
232,TextDigitalDocument,"Thing,CreativeWork,DigitalDocument,"
233,RadioEpisode,"Thing,CreativeWork,Episode,"
234,TVEpisode,"Thing,CreativeWork,Episode,"
235,VideoGame,"Thing,CreativeWork,Game,"
236,Recipe,"Thing,CreativeWork,HowTo,"
237,HowToDirection,"Thing,CreativeWork,"
238,HowToSection,"Thing,CreativeWork,"
239,HowToStep,"Thing,CreativeWork,"
240,HowToTip,"Thing,CreativeWork,"
241,Map,"Thing,CreativeWork,"
242,DataDownload,"Thing,CreativeWork,MediaObject,"
243,Barcode,"Thing,CreativeWork,MediaObject,ImageObject,"
244,MusicVideoObject,"Thing,CreativeWork,MediaObject,"
245,VideoObject,"Thing,CreativeWork,MediaObject,"
246,Menu,"Thing,CreativeWork,"
247,MenuSection,"Thing,CreativeWork,"
248,EmailMessage,"Thing,CreativeWork,Message,"
