atribut,property,score
nip,identifier,0.05555555555555555
nip,image,0.04733727810650888
nip,main Entity Of Page,0.0
nip,name,0.05555555555555555
nip,potential Action,0.0
nip,same As,0
nip,subject Of,0.06611570247933884
nip,rl,0
nip,additional Name,0.0
nip,address,0.04081632653061224
nip,affiliation,0.05555555555555555
nip,alumni Of,0.01183431952662722
nip,award,0.035555555555555556
nip,birth Date,0.0625
nip,birth Place,0.0625
nip,brand,0.04733727810650888
nip,children,0.013888888888888888
nip,colleague,0.01183431952662722
nip,contact Point,0.02040816326530612
nip,death Date,0.038461538461538464
nip,death Place,0.02366863905325444
nip,duns,0.0037807183364839316
nip,email,0.035555555555555556
nip,family Name,0.02564102564102564
nip,fax Number,0.009615384615384616
nip,follows,0.0
nip,funder,0
nip,gender,0.04733727810650888
nip,given Name,0.018518518518518517
nip,global Location Number,0.0
nip,has Occupation,0.04733727810650888
nip,has Offer Catalog,0.02366863905325444
nip,has POS,0.04081632653061224
nip,height,0.04733727810650888
nip,home Location,0.006666666666666667
nip,honorific Prefix,0.027777777777777776
nip,honorific Suffix,0.027777777777777776
nip,isic V4,0
nip,job Title,0.02366863905325444
nip,knows,0.04081632653061224
nip,makes Offer,0.017094017094017096
nip,member Of,0.01183431952662722
nip,naics,0
nip,nationality,0.06611570247933884
nip,net Worth,0.0
nip,owns,0.0
nip,parent,0.008888888888888889
nip,performer In,0.013888888888888888
nip,publishing Principles,0.019047619047619046
nip,related To,0.0
nip,seeks,0.04733727810650888
nip,sibling,0
nip,sponsor,0.01183431952662722
nip,spouse,0.013888888888888888
nip,tax ID,0.02040816326530612
nip,telephone,0.008888888888888889
nip,vat ID,0.01384083044982699
nip,weight,0.05555555555555555
nip,work Location,0.02366863905325444
nip,works For,0.01020408163265306
gender,additional Type,0.0
gender,alternate Name,0.01098901098901099
gender,description,0.04733727810650888
gender,disambiguating Description,0.009615384615384616
gender,identifier,0.04733727810650888
gender,image,0.04081632653061224
gender,main Entity Of Page,0.0
gender,name,0.04733727810650888
gender,potential Action,0.0
gender,same As,0
gender,subject Of,0.05555555555555555
gender,rl,0
gender,additional Name,0.0
gender,address,0.035555555555555556
gender,affiliation,0.04733727810650888
gender,alumni Of,0.01020408163265306
gender,award,0.03125
gender,birth Date,0.02366863905325444
gender,birth Place,0.02366863905325444
gender,brand,0.04081632653061224
gender,children,0.01183431952662722
gender,colleague,0.01020408163265306
gender,contact Point,0.017777777777777778
gender,death Date,0.02197802197802198
gender,death Place,0.02040816326530612
gender,duns,0.003472222222222222
gender,email,0.03125
gender,family Name,0.04591836734693877
gender,fax Number,0.008403361344537815
gender,follows,0.0
gender,funder,0
gender,gender,0.8999999999999999
gender,given Name,0.015384615384615385
gender,global Location Number,0.0
